timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768286919186,1185,01 Open url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,,true,,5664,523,1,1,null,0,49,985
1768286919232,1185,01Open url,200,,Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,text,true,,5664,523,1,1,https://petstore.octoperf.com/actions/Catalog.action,1185,0,985
1768286920420,195,02 Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,,true,,4212,628,1,1,null,0,1,0
1768286920420,195,Click on Category,200,,Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,text,true,,4212,628,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,195,0,0
1768286920617,197,03 Product id,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,,true,,4138,660,1,1,null,0,5544,0
1768286926161,197,Click om Product id,200,,Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,text,true,,4138,660,1,1,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=K9-DL-01,197,0,0
1768286926359,198,04 Add to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,,true,,4683,663,1,1,null,0,5631,0
1768286931990,198,Click on Add to cart,200,,Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,text,true,,4683,663,1,1,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-10,197,0,0
1768286932189,197,05 Checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,,true,,4222,646,1,1,null,0,5314,0
1768286937501,197,Click on Checkout,200,,Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,text,true,,4222,646,1,1,https://petstore.octoperf.com/actions/Order.action?newOrderForm=null,197,0,0
1768286937699,740,01 Open url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,,true,,4973,576,1,1,null,0,3,557
1768286937701,740,01Open url,200,,Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,text,true,,4973,576,1,1,https://petstore.octoperf.com/actions/Catalog.action,740,0,557
1768286938442,184,02 Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - Checkout - jp@gc - Ultimate Thread Group 1-1,,true,,3666,629,1,1,null,0,1,0
